Time,Data
14:42:05,eQ 2.59 AZT= 2.66 GX= -6.94 GY= 0.24 GZ= 0.72 AXL= 0.06 AYL= -0.45 AZL= -8.75 GXYZ= 6.98
14:42:05,AXYZ= 0.46
14:42:05,the car stop moving
14:42:05,AXT= -0.93 AYT= 3.31 AZT= 3.43 GX= -6.87 GY= 0.11 GZ= 0.67 AXL= 0.10 AYL= -0.58 AZL= -8.74 GXYZ= 6.90
14:42:05,AXYZ= 0.59
14:42:05,the car stop moving
14:42:05,AXT= -0.66 AYT= 2.69 AZT= 2.77 GX= -6.90 GY= 0.29 GZ= 0.72 AXL= 0.06 AYL= -0.47 AZL= -8.74 GXYZ= 6.94
14:42:05,AXYZ= 0.48
14:42:06,the car stop moving
14:42:06,AXT= -0.78 AYT= 3.18 AZT= 3.27 GX= -7.08 GY= 0.13 GZ= 0.78 AXL= 0.08 AYL= -0.56 AZL= -8.74 GXYZ= 7.12
14:42:06,AXYZ= 0.56
14:42:06,the car stop moving
14:42:06,AXT= -1.02 AYT= 2.98 AZT= 3.15 GX= -6.97 GY= 0.02 GZ= 0.66 AXL= 0.12 AYL= -0.53 AZL= -8.74 GXYZ= 7.00
14:42:06,AXYZ= 0.54
14:42:06,the car stop moving
14:42:06,AXT= -0.63 AYT= 2.50 AZT= 2.57 GX= -6.85 GY= 0.05 GZ= 0.56 AXL= 0.06 AYL= -0.44 AZL= -8.74 GXYZ= 6.87
14:42:06,AXYZ= 0.44
14:42:06,the car stop moving
14:42:06,AXT= -0.51 AYT= 2.84 AZT= 2.88 GX= -6.86 GY= 0.09 GZ= 0.81 AXL= 0.04 AYL= -0.50 AZL= -8.74 GXYZ= 6.91
14:42:06,AXYZ= 0.50
14:42:06,the car stop moving
14:42:06,AXT= -0.97 AYT= 3.10 AZT= 3.24 GX= -7.10 GY= 0.12 GZ= 0.73 AXL= 0.11 AYL= -0.55 AZL= -8.73 GXYZ= 7.14
14:42:06,AXYZ= 0.56
14:42:06,the car stop moving
14:42:06,AXT= -0.57 AYT= 2.42 AZT= 2.49 GX= -6.89 GY= 0.29 GZ= 0.54 AXL= 0.05 AYL= -0.43 AZL= -8.75 GXYZ= 6.91
14:42:06,AXYZ= 0.43
14:42:06,the car stop moving
14:42:06,AXT= -1.15 AYT= 3.34 AZT= 3.54 GX= -6.95 GY= -0.02 GZ= 0.73 AXL= 0.13 AYL= -0.59 AZL= -8.73 GXYZ= 6.98
14:42:06,AXYZ= 0.61
14:42:06,the car stop moving
14:42:06,AXT= -0.65 AYT= 2.79 AZT= 2.87 GX= -6.95 GY= 0.41 GZ= 0.63 AXL= 0.06 AYL= -0.49 AZL= -8.75 GXYZ= 6.99
14:42:06,AXYZ= 0.49
14:42:06,the car stop moving
14:42:06,AXT= -0.72 AYT= 2.75 AZT= 2.84 GX= -6.87 GY= 0.11 GZ= 0.72 AXL= 0.07 AYL= -0.48 AZL= -8.74 GXYZ= 6.91
14:42:06,AXYZ= 0.49
14:42:06,the car stop moving
14:42:06,AXT= -0.76 AYT= 3.02 AZT= 3.12 GX= -6.81 GY= 0.12 GZ= 0.74 AXL= 0.07 AYL= -0.53 AZL= -8.74 GXYZ= 6.85
14:42:06,AXYZ= 0.54
14:42:06,the car stop moving
14:42:06,AXT= -0.56 AYT= 2.88 AZT= 2.94 GX= -6.85 GY= 0.27 GZ= 0.64 AXL= 0.04 AYL= -0.50 AZL= -8.75 GXYZ= 6.89
14:42:06,AXYZ= 0.51
14:42:06,the car stop moving
14:42:06,AXT= -0.86 AYT= 2.84 AZT= 2.97 GX= -7.08 GY= 0.41 GZ= 0.66 AXL= 0.10 AYL= -0.50 AZL= -8.74 GXYZ= 7.13
14:42:06,AXYZ= 0.51
14:42:06,the car stop moving
14:42:06,AXT= -1.00 AYT= 3.22 AZT= 3.37 GX= -7.21 GY= 0.13 GZ= 0.66 AXL= 0.11 AYL= -0.57 AZL= -8.74 GXYZ= 7.24
14:42:06,AXYZ= 0.58
14:42:06,the car stop moving
