AX,AY,AZ,GX,GY,GZ,VX,VY,VZ
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.15
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.16
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.17
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.18
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.19
,,,,,,-0.06,-0.05,1.20
,,,,,,-0.06,-0.05,1.20
